runtime,genre,rating,about,votes,gross_earn
142 min,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","26,26,905",$28.34M
152 min,"Action, Crime, Drama",9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","25,98,173",$534.86M
148 min,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","23,04,062",$292.58M
139 min,Drama,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"20,71,088",$37.03M
154 min,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","20,11,013",$107.93M
142 min,"Drama, Romance",8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","20,32,188",$330.25M
178 min,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"18,23,037",$315.54M
136 min,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","18,81,439",$171.48M
201 min,"Action, Adventure, Drama",9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"18,01,662",$377.85M
175 min,"Crime, Drama",9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"18,19,641",$134.97M
164 min,"Action, Drama",8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","16,75,555",$448.14M
179 min,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","16,26,871",$342.55M
127 min,"Crime, Drama, Mystery",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","16,14,560",$100.13M
143 min,"Action, Adventure, Sci-Fi",8,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"13,71,553",$623.28M
155 min,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"14,73,434",$187.71M
140 min,"Action, Crime, Drama",8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","14,45,947",$206.85M
165 min,"Drama, Western",8.4,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","15,19,581",$162.81M
169 min,"Adventure, Drama, Sci-Fi",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"17,68,779",$188.02M
121 min,"Action, Adventure, Fantasy",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","13,43,413",$322.74M
118 min,"Crime, Drama, Thriller",8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","14,04,480",$130.74M
162 min,"Action, Adventure, Fantasy",7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"12,16,143",$760.51M
153 min,"Adventure, Drama, War",8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","14,17,255",$120.54M
169 min,"Drama, War",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","13,66,343",$216.54M
151 min,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"13,03,531",$132.38M
195 min,"Biography, Drama, History",9,"In German-occupied Poland during World War II, industrialist","13,33,407",$96.90M
113 min,"Mystery, Thriller",8.4,A man with short-term memory loss attempts to track down his wife's murderer.,"12,20,296",$25.54M
130 min,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","13,10,375",$53.09M
124 min,"Action, Adventure, Fantasy",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","12,70,787",$290.48M
122 min,Drama,8.4,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"11,41,239",$130.10M
143 min,"Action, Adventure, Fantasy",8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","11,10,566",$305.41M
194 min,"Drama, Romance",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","11,52,050",$659.33M
132 min,"Action, Drama, Sci-Fi",8.2,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","11,08,869",$70.51M
202 min,"Crime, Drama",9,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","12,49,182",$57.30M
138 min,"Mystery, Thriller",8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","12,80,796",$128.01M
119 min,"Crime, Drama",8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"11,07,621",$6.72M
189 min,"Crime, Drama, Fantasy",8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","12,76,092",$136.80M
180 min,"Biography, Comedy, Crime",8.2,Based on the true story of,"13,69,335",$116.90M
137 min,"Action, Sci-Fi",8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.","10,81,554",$204.84M
106 min,"Crime, Drama, Mystery",8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","10,71,201",$23.34M
178 min,"Biography, Drama, History",8.4,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"10,26,238",$75.60M
111 min,"Action, Crime, Drama",8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","10,97,925",$70.10M
116 min,"Adventure, Comedy, Sci-Fi",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","11,79,469",$210.61M
145 min,"Biography, Crime, Drama",8.7,The story of,"11,37,965",$46.84M
110 min,"Action, Crime, Drama",8.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","11,41,442",$19.50M
98 min,"Animation, Adventure, Family",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","10,98,734",$223.81M
107 min,"Drama, Mystery, Thriller",8.2,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","9,79,569",$293.51M
142 min,"Action, Adventure, Sci-Fi",7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,"9,07,228",$408.01M
126 min,"Action, Adventure, Sci-Fi",7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","10,42,059",$318.41M
100 min,"Animation, Adventure, Comedy",8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","10,29,876",$380.84M
131 min,"Action, Adventure, Fantasy",8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","10,37,803",$309.13M
133 min,Drama,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","9,94,171",$112.00M
121 min,"Action, Adventure, Comedy",8,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"11,57,753",$333.18M
103 min,"Comedy, Drama",8.2,An insurance salesman discovers his whole life is actually a reality TV show.,"10,56,090",$125.62M
108 min,"Drama, Romance, Sci-Fi",8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","9,92,622",$34.40M
96 min,"Animation, Adventure, Comedy",8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","10,28,031",$293.00M
99 min,"Crime, Drama, Thriller",8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","10,02,382",$2.83M
115 min,"Action, Adventure",8.4,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","9,53,762",$248.16M
124 min,"Crime, Thriller",8,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","7,64,668",$74.10M
88 min,"Animation, Adventure, Drama",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","10,39,701",$422.78M
120 min,"Crime, Drama, Romance",8,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","8,39,114",$141.32M
169 min,"Adventure, Fantasy",7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","8,11,320",$303.00M
81 min,"Animation, Adventure, Comedy",8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"9,78,664",$191.80M
127 min,"Action, Adventure, Sci-Fi",8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"9,73,121",$402.45M
122 min,"Crime, Drama, Thriller",8.2,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"9,54,931",$74.28M
135 min,"Biography, Drama",8.2,After,"9,21,008",$170.74M
146 min,"Drama, Horror",8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","10,00,391",$44.02M
117 min,"Action, Drama",7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,"8,11,856",$210.61M
126 min,"Drama, Romance",8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","9,50,568",$138.43M
104 min,"Comedy, Crime",8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","8,45,236",$30.33M
107 min,"Action, Sci-Fi",8.1,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","8,53,011",$38.40M
132 min,"Action, Thriller",8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"8,65,629",$83.01M
92 min,"Animation, Adventure, Comedy",8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","8,95,813",$289.92M
100 min,Comedy,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.","7,75,812",$277.32M
91 min,"Sci-Fi, Thriller",7.7,Two astronauts work together to survive after an accident leaves them stranded in space.,"8,18,384",$274.09M
113 min,"Drama, Mystery, Sci-Fi",8,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.","7,91,646",$1.48M
102 min,Drama,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"8,30,490",$3.64M
149 min,"Drama, Mystery, Thriller",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","9,65,733",$167.77M
117 min,"Horror, Sci-Fi",8.5,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"8,66,157",$78.90M
138 min,"Action, Adventure, Sci-Fi",7.8,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","9,19,840",$936.66M
116 min,Drama,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","7,68,600",$148.10M
136 min,"Crime, Sci-Fi",8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","8,18,737",$6.21M
130 min,"Action, Adventure, Sci-Fi",7.1,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","8,37,520",$409.01M
108 min,"Drama, Thriller",8,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","7,55,683",$106.95M
120 min,"Action, Adventure, Sci-Fi",8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","9,83,720",$154.06M
143 min,"Action, Adventure, Sci-Fi",7.1,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,"7,61,417",$291.05M
121 min,"Action, Adventure, Sci-Fi",7.4,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","8,05,657",$403.71M
103 min,"Animation, Adventure, Comedy",8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","8,25,219",$415.00M
130 min,"Adventure, Fantasy, Mystery",8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","8,59,602",$381.01M
170 min,"Crime, Drama",8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","8,23,949",$45.60M
117 min,"Comedy, Crime",8.1,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","7,98,814",$17.50M
115 min,"Action, Adventure, Fantasy",7,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","8,36,350",$181.03M
136 min,"Action, Adventure, Fantasy",6.5,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","7,95,403",$474.54M
122 min,"Comedy, Romance",8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","7,49,530",$33.23M
122 min,"Comedy, Drama, Romance",7.7,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","7,03,803",$132.09M
130 min,"Crime, Drama",8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","7,48,122",$7.56M
112 min,"Action, Sci-Fi, Thriller",7.9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"6,76,036",$115.65M
101 min,"Action, Drama, Sci-Fi",7.2,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.","7,47,517",$256.39M
141 min,"Biography, Crime, Drama",8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","9,58,178",$164.62M
143 min,"Action, Adventure, Thriller",7.8,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","6,91,070",$304.36M
151 min,"Action, Adventure, Fantasy",7.3,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","7,10,348",$423.32M
124 min,"Action, Adventure, Sci-Fi",6.9,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","8,05,064",$312.43M
140 min,"Action, Adventure, Fantasy",7.6,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.","7,80,037",$380.26M
131 min,"Action, Adventure, Sci-Fi",7.7,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","6,86,938",$146.41M
127 min,"Action, Adventure",8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against","7,45,875",$197.17M
144 min,"Action, Adventure, Sci-Fi",7,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","6,32,481",$319.25M
132 min,"Action, Adventure, Sci-Fi",7.9,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"7,05,585",$233.92M
137 min,"Action, Crime, Thriller",8,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","7,45,911",$66.21M
124 min,"Action, Adventure, Sci-Fi",6.9,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.","8,32,397",$176.65M
114 min,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","8,13,309",$28.26M
127 min,"Action, Adventure, Sci-Fi",7.9,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"6,01,266",$257.73M
118 min,"Biography, Drama, History",8,The story of,"6,75,631",$138.80M
148 min,"Adventure, Western",8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"7,51,207",$6.10M
112 min,"Biography, Comedy, Drama",8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","8,42,798",$13.18M
146 min,"Action, Adventure, Sci-Fi",7.5,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,"6,57,641",$424.67M
150 min,"Biography, Drama, Music",8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"8,16,651",$32.57M
136 min,"Action, Adventure, Sci-Fi",7.8,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","8,30,936",$259.77M
115 min,"Action, Mystery, Thriller",8,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"6,31,403",$227.47M
137 min,"Action, Adventure, Sci-Fi",8.4,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.","7,07,837",$85.16M
98 min,"Animation, Action, Adventure",8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","7,29,988",$217.58M
116 min,"Drama, War",8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"7,32,902",$46.36M
90 min,"Action, Crime, Thriller",7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.","5,98,725",$145.00M
161 min,"Adventure, Fantasy",7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.","6,50,083",$258.37M
132 min,"Drama, Sport",8.1,A determined woman works with a hardened boxing trainer to become a professional.,"6,81,515",$100.49M
120 min,"Biography, Drama",7.8,As Harvard student,"6,92,549",$96.96M
115 min,"Animation, Action, Adventure",8,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","7,24,036",$261.44M
128 min,"Action, Adventure, Mystery",7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,"6,27,447",$209.03M
99 min,"Adventure, Comedy, Crime",8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","7,94,042",$59.10M
111 min,"Animation, Adventure, Comedy",8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"7,19,957",$206.45M
106 min,Comedy,6.9,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.","6,08,617",$218.82M
169 min,"Action, Adventure, Fantasy",7.1,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","6,44,434",$309.42M
144 min,"Action, Adventure, Thriller",8,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","6,51,188",$167.45M
108 min,"Action, Adventure, Comedy",8,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","10,14,875",$363.07M
93 min,Drama,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","6,80,274",$16.50M
144 min,"Adventure, Drama, Sci-Fi",8,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","8,39,465",$228.43M
118 min,"Drama, Fantasy, War",8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","6,62,084",$37.63M
90 min,"Animation, Adventure, Comedy",7.9,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","6,67,352",$267.67M
114 min,"Biography, Drama, Thriller",8,"During World War II, the English mathematical genius","7,58,613",$91.13M
116 min,"Action, Adventure, Horror",7,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,"6,56,771",$202.36M
142 min,"Action, Adventure, Fantasy",6.6,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","7,01,621",$310.68M
129 min,"Mystery, Sci-Fi, Thriller",8,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","6,13,461",$57.14M
117 min,"Action, Drama, Sci-Fi",8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","7,58,707",$32.87M
141 min,"Action, Adventure, Sci-Fi",7.3,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","8,47,817",$459.01M
166 min,"Drama, Fantasy, Romance",7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","6,42,861",$127.51M
124 min,"Adventure, Mystery, Sci-Fi",7,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.","6,04,386",$126.48M
98 min,"Crime, Thriller",8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"6,70,828",$24.61M
104 min,"Action, Adventure, Sci-Fi",7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","6,10,345",$157.30M
120 min,"Biography, Drama, Thriller",7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","6,10,469",$136.03M
136 min,"Action, Adventure, Sci-Fi",6.9,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","6,48,317",$262.03M
147 min,"Drama, Mystery, War",8.5,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"6,58,867",$83.47M
96 min,"Crime, Drama",9,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"7,75,906",$4.36M
115 min,"Crime, Mystery, Thriller",7.2,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.","6,51,101",$117.72M
152 min,"Adventure, Family, Fantasy",7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","7,63,191",$317.58M
127 min,"Adventure, Drama, Fantasy",7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","6,23,181",$124.99M
134 min,"Biography, Drama, History",8.1,"In the antebellum United States,","6,93,139",$56.67M
101 min,"Comedy, Drama, Fantasy",8.1,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","6,22,855",$70.91M
117 min,"Action, Comedy, Crime",7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","5,58,094",$48.07M
100 min,"Action, Drama",7.8,"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor.","6,28,671",$35.06M
170 min,"Action, Crime, Drama",8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"6,44,406",$67.44M
113 min,"Action, Adventure, Sci-Fi",7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","6,66,838",$100.21M
145 min,"Action, Adventure, Sci-Fi",7,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","5,71,276",$306.17M
