runtime,genre,rating,about,votes,gross_earn
128 min,"Drama, Thriller",6.1,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.","50,346",$83.02M
107 min,"Drama, Romance",7.3,"In 1950s Connecticut, a flustered housewife faces a marital crisis and mounting racial tensions in the outside world.","46,627",$15.85M
92 min,"Comedy, History, Musical",6.8,Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,"49,703",$31.67M
78 min,"Action, Adventure, Comedy",4.1,A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.,"48,342",$97.40M
114 min,"Action, Drama, History",7,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.","44,259",$6.57M
91 min,"Action, Adventure, Fantasy",4.2,"In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield.","45,992",$15.56M
99 min,"Drama, Thriller",6.2,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.","57,655",$101.60M
124 min,"Drama, Music, Musical",7.8,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"55,034",$42.77M
117 min,"Crime, Drama",6.8,"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.","48,670",$0.37M
159 min,"Action, Crime, Thriller",7.9,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","57,536",
101 min,"Adventure, Comedy, Family",4.9,"Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor.","47,980",$66.02M
77 min,"Animation, Adventure, Comedy",5.5,Stuart and Snowbell set out across town to rescue a friend.,"54,368",$64.96M
95 min,"Biography, Comedy, Drama",7.2,A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,"42,774",$6.00M
95 min,"Action, Adventure, Fantasy",3.6,A group of martial-arts warriors has only six days to save the Earth from an extra-dimensional invasion.,"54,772",$35.93M
125 min,"Action, Crime, Drama",7.8,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,"65,946",
141 min,"Action, Comedy, Romance",6,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,"54,310",$5.31M
105 min,"Drama, Mystery, Western",7.5,A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.,"55,969",$15.70M
105 min,Horror,4.8,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.","54,192",$33.39M
