director,stars
Sylvester Stallone,"('Sylvester Stallone',), ('Antonio Tarver',), ('Milo Ventimiglia',), ('Burt Young',)"
Trey Parker,"('Trey Parker',), ('Matt Stone',), ('Mary Kay Bergman',), ('Isaac Hayes',)"
David Lynch,"('Anthony Hopkins',), ('John Hurt',), ('Anne Bancroft',), ('John Gielgud',)"
Dennis Dugan,"('Adam Sandler',), ('Joey Lauren Adams',), ('Jon Stewart',), ('Cole Sprouse',)"
Tom Tykwer,"('Franka Potente',), ('Moritz Bleibtreu',), ('Herbert Knaup',), ('Nina Petri',)"
Jared Hess,"('Jon Heder',), ('Efren Ramirez',), ('Jon Gries',), ('Aaron Ruell',)"
Michael Bay,"('Mark Wahlberg',), ('Dwayne Johnson',), ('Anthony Mackie',), ('Tony Shalhoub',)"
Boaz Yakin,"('Denzel Washington',), ('Will Patton',), ('Wood Harris',), ('Ryan Hurst',)"
Jake Kasdan,"('Cameron Diaz',), ('Jason Segel',), ('Justin Timberlake',), ('Lucy Punch',)"
Brett Ratner,"('Jackie Chan',), ('Chris Tucker',), ('John Lone',), ('Ziyi Zhang',)"
Vincenzo Natali,"('Nicole de Boer',), ('Maurice Dean Wint',), ('David Hewlett',), ('Andrew Miller',)"
Steve Oedekerk,"('Jim Carrey',), ('Ian McNeice',), ('Simon Callow',), ('Maynard Eziashi',)"
Jim Abrahams,"('David Zucker',), ('Jerry Zucker',), ('Robert Hays',), ('Julie Hagerty',)"
William Wyler,"('Charlton Heston',), ('Jack Hawkins',), ('Stephen Boyd',), ('Haya Harareet',)"
Shawn Levy,"('Vince Vaughn',), ('Owen Wilson',), ('Rose Byrne',), ('Aasif Mandvi',)"
Tommy Wirkola,"('Jeremy Renner',), ('Gemma Arterton',), ('Peter Stormare',), ('Famke Janssen',)"
Joe Wright,"('Saoirse Ronan',), ('Cate Blanchett',), ('Eric Bana',), ('Vicky Krieps',)"
Nancy Meyers,"('Mel Gibson',), ('Helen Hunt',), ('Marisa Tomei',), ('Alan Alda',)"
M. Night Shyamalan,"('Jaden Smith',), ('David Denman',), ('Will Smith',), ('Sophie Okonedo',)"
Sam Raimi,"('Alison Lohman',), ('Justin Long',), ('Ruth Livier',), ('Lorna Raver',)"
Guillermo del Toro,"('Wesley Snipes',), ('Kris Kristofferson',), ('Ron Perlman',), ('Leonor Varela',)"
Lenny Abrahamson,"('Brie Larson',), ('Jacob Tremblay',), ('Sean Bridgers',), ('Wendy Crewson',)"
John Carpenter,"('Donald Pleasence',), ('Jamie Lee Curtis',), ('Tony Moran',), ('Nancy Kyes',)"
Michael Apted,"('Pierce Brosnan',), ('Sophie Marceau',), ('Robert Carlyle',), ('Denise Richards',)"
Sergio Leone,"('Clint Eastwood',), ('Lee Van Cleef',), ('Gian Maria Volontè',), ('Mara Krupp',)"
Nima Nourizadeh,"('Thomas Mann',), ('Oliver Cooper',), ('Jonathan Daniel Brown',), ('Dax Flame',)"
Simon West,"('Angelina Jolie',), ('Jon Voight',), ('Iain Glen',), ('Noah Taylor',)"
Alex Proyas,"('Rufus Sewell',), ('Kiefer Sutherland',), ('Jennifer Connelly',), ('William Hurt',)"
Baltasar Kormákur,"('Denzel Washington',), ('Mark Wahlberg',), ('Paula Patton',), ('Bill Paxton',)"
Brad Silberling,"('Jim Carrey',), ('Jude Law',), ('Meryl Streep',), ('Liam Aiken',)"
Donald Petrie,"('Kate Hudson',), ('Matthew McConaughey',), ('Adam Goldberg',), ('Kathryn Hahn',)"
Dennis Dugan,"('Adam Sandler',), ('John Turturro',), ('Emmanuelle Chriqui',), ('Nick Swardson',)"
Len Wiseman,"('Kate Beckinsale',), ('Scott Speedman',), ('Bill Nighy',), ('Tony Curran',)"
Louis Leterrier,"('Jason Statham',), ('Amber Valletta',), ('Kate Nauta',), ('Alessandro Gassmann',)"
Dennis Dugan,"('Adam Sandler',), ('Christopher McDonald',), ('Julie Bowen',), ('Frances Bay',)"
Garth Jennings,"('Martin Freeman',), ('Yasiin Bey',), ('Sam Rockwell',), ('Zooey Deschanel',)"
Dominic Sena,"('John Travolta',), ('Hugh Jackman',), ('Halle Berry',), ('Don Cheadle',)"
Robert Rodriguez,"('Eli Roth',), ('Quentin Tarantino',), ('Edgar Wright',), ('Rob Zombie',)"
Danny Leiner,"('John Cho',), ('Kal Penn',), ('Ethan Embry',), ('Rob Tinkler',)"
Jonathan Liebesman,"('Aaron Eckhart',), ('Michelle Rodriguez',), ('Bridget Moynahan',), ('Ramón Rodríguez',)"
Neil Marshall,"('Shauna Macdonald',), ('Natalie Mendoza',), ('Alex Reid',), ('Saskia Mulder',)"
Scott Derrickson,"('Ethan Hawke',), ('Juliet Rylance',), ('James Ransone',), ('Fred Thompson',)"
Lasse Hallström,"('Richard Gere',), ('Joan Allen',), ('Cary-Hiroyuki Tagawa',), ('Sarah Roemer',)"
Barry Levinson,"('Robert De Niro',), ('Kevin Bacon',), ('Brad Pitt',), ('Jason Patric',)"
Jerry Zucker,"('Patrick Swayze',), ('Demi Moore',), ('Whoopi Goldberg',), ('Tony Goldwyn',)"
Robert Schwentke,"('Shailene Woodley',), ('Ansel Elgort',), ('Theo James',), ('Kate Winslet',)"
Penny Marshall,"('Tom Hanks',), ('Elizabeth Perkins',), ('Robert Loggia',), ('John Heard',)"
Jonathan Liebesman,"('Sam Worthington',), ('Liam Neeson',), ('Rosamund Pike',), ('Ralph Fiennes',)"
Sam Mendes,"('Leonardo DiCaprio',), ('Kate Winslet',), ('Christopher Fitzgerald',), ('Jonathan Roumie',)"
Phil Lord,"('Christopher Miller',), ('Anna Faris',), ('Bill Hader',), ('Bruce Campbell',)"
Roger Donaldson,"('Jason Statham',), ('Saffron Burrows',), ('Stephen Campbell Moore',), ('Daniel Mays',)"
Terry Gilliam,"('Jonathan Pryce',), ('Kim Greist',), ('Robert De Niro',), ('Katherine Helmond',)"
Giuseppe Tornatore,"('Philippe Noiret',), ('Enzo Cannavale',), ('Antonella Attili',), ('Isa Danieli',)"
George Miller,"('Mel Gibson',), ('Joanne Samuel',), ('Hugh Keays-Byrne',), ('Steve Bisley',)"
George Roy Hill,"('Paul Newman',), ('Robert Redford',), ('Katharine Ross',), ('Strother Martin',)"
Nora Ephron,"('Tom Hanks',), ('Meg Ryan',), ('Greg Kinnear',), ('Parker Posey',)"
Roland Emmerich,"('Matthew Broderick',), ('Jean Reno',), ('Maria Pitillo',), ('Hank Azaria',)"
Asghar Farhadi,"('Payman Maadi',), ('Leila Hatami',), ('Sareh Bayat',), ('Shahab Hosseini',)"
Jonathan Mostow,"('Bruce Willis',), ('Radha Mitchell',), ('Ving Rhames',), ('Rosamund Pike',)"
Alexander Witt,"('Milla Jovovich',), ('Sienna Guillory',), ('Eric Mabius',), ('Oded Fehr',)"
D.J. Caruso,"('Shia LaBeouf',), ('Michelle Monaghan',), ('Rosario Dawson',), ('Michael Chiklis',)"
Kirk DeMicco,"('Chris Sanders',), ('Nicolas Cage',), ('Ryan Reynolds',), ('Emma Stone',)"
Lasse Hallström,"('Juliette Binoche',), ('Johnny Depp',), ('Judi Dench',), ('Alfred Molina',)"
Alexander Payne,"('Paul Giamatti',), ('Thomas Haden Church',), ('Virginia Madsen',), ('Sandra Oh',)"
Tony Scott,"('Denzel Washington',), ('John Travolta',), ('Luis Guzmán',), ('Victor Gojcaj',)"
Woody Allen,"('Cate Blanchett',), ('Alec Baldwin',), ('Peter Sarsgaard',), ('Sally Hawkins',)"
Tony Scott,"('Denzel Washington',), ('Chris Pine',), ('Rosario Dawson',), ('Ethan Suplee',)"
Stanley Donen,"('Gene Kelly',), ('Gene Kelly',), (""Donald O'Connor"",), ('Debbie Reynolds',)"
Andrew Adamson,"('Ben Barnes',), ('Skandar Keynes',), ('Georgie Henley',), ('William Moseley',)"
Kevin Smith,"('Seth Rogen',), ('Elizabeth Banks',), ('Craig Robinson',), ('Gerry Bednob',)"
Roger Spottiswoode,"('Pierce Brosnan',), ('Jonathan Pryce',), ('Michelle Yeoh',), ('Teri Hatcher',)"
Spike Lee,"('Edward Norton',), ('Barry Pepper',), ('Philip Seymour Hoffman',), ('Rosario Dawson',)"
Yimou Zhang,"('Jet Li',), ('Tony Chiu-Wai Leung',), ('Maggie Cheung',), ('Ziyi Zhang',)"
Russell Mulcahy,"('Milla Jovovich',), ('Ali Larter',), ('Oded Fehr',), ('Iain Glen',)"
David Lean,"('William Holden',), ('Alec Guinness',), ('Jack Hawkins',), ('Sessue Hayakawa',)"
Roger Kumble,"('Sarah Michelle Gellar',), ('Ryan Phillippe',), ('Reese Witherspoon',), ('Selma Blair',)"
Wes Craven,"('Heather Langenkamp',), ('Johnny Depp',), ('Robert Englund',), ('John Saxon',)"
Chris Weitz,"('Nicole Kidman',), ('Daniel Craig',), ('Dakota Blue Richards',), ('Ben Walker',)"
Rob Reiner,"('Billy Crystal',), ('Meg Ryan',), ('Carrie Fisher',), ('Bruno Kirby',)"
Roland Emmerich,"('Kurt Russell',), ('James Spader',), ('Jaye Davidson',), ('Viveca Lindfors',)"
Tomas Alfredson,"('Gary Oldman',), ('Colin Firth',), ('Tom Hardy',), ('Mark Strong',)"
Iain Softley,"('Kevin Spacey',), ('Jeff Bridges',), ('Mary McCormack',), ('Alfre Woodard',)"
Glenn Ficarra,"('John Requa',), ('Will Smith',), ('Margot Robbie',), ('Rodrigo Santoro',)"
Steven Soderbergh,"('Rooney Mara',), ('Channing Tatum',), ('Jude Law',), ('Catherine Zeta-Jones',)"
Ron Howard,"('Russell Crowe',), ('Renée Zellweger',), ('Craig Bierko',), ('Paul Giamatti',)"
James Mangold,"('Tom Cruise',), ('Cameron Diaz',), ('Peter Sarsgaard',), ('Jordi Mollà',)"
Robert Wise,"('Julie Andrews',), ('Christopher Plummer',), ('Eleanor Parker',), ('Richard Haydn',)"
Gareth Evans,"('Iko Uwais',), ('Ananda George',), ('Ray Sahetapy',), ('Donny Alamsyah',)"
Jaco Van Dormael,"('Jared Leto',), ('Sarah Polley',), ('Diane Kruger',), ('Linh-Dan Pham',)"
Jon Favreau,"('Will Ferrell',), ('James Caan',), ('Bob Newhart',), ('Zooey Deschanel',)"
McG,"('Reese Witherspoon',), ('Chris Pine',), ('Tom Hardy',), ('Til Schweiger',)"
David Koepp,"('Johnny Depp',), ('Maria Bello',), ('John Turturro',), ('Timothy Hutton',)"
Nicholas Stoller,"('Jonah Hill',), ('Russell Brand',), ('Elisabeth Moss',), ('Rose Byrne',)"
Sergio Leone,"('Clint Eastwood',), ('Gian Maria Volontè',), ('Marianne Koch',), ('Wolfgang Lukschy',)"
Brad Peyton,"('Dwayne Johnson',), ('Carla Gugino',), ('Alexandra Daddario',), ('Colton Haynes',)"
Burr Steers,"('Zac Efron',), ('Matthew Perry',), ('Leslie Mann',), ('Thomas Lennon',)"
Byron Howard,"('Chris Williams',), ('John Travolta',), ('Miley Cyrus',), ('Susie Essman',)"
Jon M. Chu,"('Dwayne Johnson',), ('Channing Tatum',), ('Adrianne Palicki',), ('Lee Byung-hun',)"
Paul Haggis,"('Russell Crowe',), ('Elizabeth Banks',), ('Liam Neeson',), ('Michael Buie',)"
Antoine Fuqua,"('Jake Gyllenhaal',), ('Rachel McAdams',), ('Oona Laurence',), ('Forest Whitaker',)"
Wolfgang Petersen,"('Harrison Ford',), ('Gary Oldman',), ('Glenn Close',), ('Wendy Crewson',)"
Phyllida Lloyd,"('Meryl Streep',), ('Pierce Brosnan',), ('Amanda Seyfried',), ('Stellan Skarsgård',)"
Eric Darnell,"('Tom McGrath',), ('Ben Stiller',), ('Chris Rock',), ('David Schwimmer',)"
Michael Sucsy,"('Rachel McAdams',), ('Channing Tatum',), ('Sam Neill',), ('Jessica Lange',)"
Kevin Macdonald,"('James McAvoy',), ('Forest Whitaker',), ('Gillian Anderson',), ('Kerry Washington',)"
John Frankenheimer,"('Robert De Niro',), ('Jean Reno',), ('Natascha McElhone',), ('Stellan Skarsgård',)"
McG,"('Cameron Diaz',), ('Drew Barrymore',), ('Lucy Liu',), ('Bill Murray',)"
Ryan Coogler,"('Michael B. Jordan',), ('Sylvester Stallone',), ('Tessa Thompson',), ('Phylicia Rashad',)"
Kevin Reynolds,"('Kevin Costner',), ('Morgan Freeman',), ('Mary Elizabeth Mastrantonio',), ('Christian Slater',)"
Steve McQueen,"('Michael Fassbender',), ('Carey Mulligan',), ('James Badge Dale',), ('Lucy Walters',)"
J.A. Bayona,"('Naomi Watts',), ('Ewan McGregor',), ('Tom Holland',), ('Oaklee Pendergast',)"
Steve Martino,"('Michael Thurmeier',), ('Ray Romano',), ('Denis Leary',), ('John Leguizamo',)"
Kevin Reynolds,"('Kevin Costner',), ('Jeanne Tripplehorn',), ('Dennis Hopper',), ('Tina Majorino',)"
Jan de Bont,"('Helen Hunt',), ('Bill Paxton',), ('Cary Elwes',), ('Jami Gertz',)"
Chris Weitz,"('Paul Weitz',), ('Hugh Grant',), ('Nicholas Hoult',), ('Toni Collette',)"
Chris Buck,"('Kevin Lima',), ('Tony Goldwyn',), ('Minnie Driver',), ('Brian Blessed',)"
Francis Ford Coppola,"('Gary Oldman',), ('Winona Ryder',), ('Anthony Hopkins',), ('Keanu Reeves',)"
John McTiernan,"('Sean Connery',), ('Alec Baldwin',), ('Scott Glenn',), ('Sam Neill',)"
Paul W.S. Anderson,"('Sanaa Lathan',), ('Lance Henriksen',), ('Raoul Bova',), ('Ewen Bremner',)"
Sam Mendes,"('Jake Gyllenhaal',), ('Jamie Foxx',), ('Lucas Black',), ('Scott MacDonald',)"
Edward Zwick,"('Jake Gyllenhaal',), ('Anne Hathaway',), ('Judy Greer',), ('Oliver Platt',)"
Spike Jonze,"('Nicolas Cage',), ('Meryl Streep',), ('Chris Cooper',), ('Tilda Swinton',)"
Stephen Frears,"('John Cusack',), ('Iben Hjejle',), ('Todd Louiso',), ('Jack Black',)"
Henry Selick,"('Dakota Fanning',), ('Teri Hatcher',), ('John Hodgman',), ('Jennifer Saunders',)"
Charles Chaplin,"('Charles Chaplin',), ('Paulette Goddard',), ('Henry Bergman',), ('Tiny Sandford',)"
Bryan Singer,"('James McAvoy',), ('Michael Fassbender',), ('Jennifer Lawrence',), ('Nicholas Hoult',)"
Darren Aronofsky,"('Sean Gullette',), ('Mark Margolis',), ('Ben Shenkman',), ('Pamela Hart',)"
Rob Cohen,"('Vin Diesel',), ('Asia Argento',), ('Marton Csokas',), ('Samuel L. Jackson',)"
Robert Zemeckis,"('Ray Winstone',), ('Crispin Glover',), ('Angelina Jolie',), ('Robin Wright',)"
Tim Burton,"('Johnny Depp',), ('Martin Landau',), ('Sarah Jessica Parker',), ('Patricia Arquette',)"
Ron Clements,"('John Musker',), ('Tate Donovan',), ('Susan Egan',), ('James Woods',)"
Kevin Lima,"('Amy Adams',), ('Susan Sarandon',), ('James Marsden',), ('Patrick Dempsey',)"
John Landis,"('John Belushi',), ('Dan Aykroyd',), ('Cab Calloway',), ('John Candy',)"
Darren Lynn Bousman,"('Tobin Bell',), ('Shawnee Smith',), ('Angus Macfadyen',), ('Bahar Soomekh',)"
Anthony Minghella,"('Ralph Fiennes',), ('Juliette Binoche',), ('Willem Dafoe',), ('Kristin Scott Thomas',)"
Joe Dante,"('Zach Galligan',), ('Phoebe Cates',), ('Hoyt Axton',), ('John Louie',)"
Stephen Norrington,"('Sean Connery',), ('Stuart Townsend',), ('Peta Wilson',), ('Jason Flemyng',)"
Emile Ardolino,"('Patrick Swayze',), ('Jennifer Grey',), ('Jerry Orbach',), ('Cynthia Rhodes',)"
Kyle Balda,"('Pierre Coffin',), ('Sandra Bullock',), ('Jon Hamm',), ('Michael Keaton',)"
Ron Howard,"('Jim Carrey',), ('Taylor Momsen',), ('Kelley',), ('Jeffrey Tambor',)"
Jaume Collet-Serra,"('Vera Farmiga',), ('Peter Sarsgaard',), ('Isabelle Fuhrman',), ('CCH Pounder',)"
Derek Cianfrance,"('Ryan Gosling',), ('Michelle Williams',), ('John Doman',), ('Faith Wladyka',)"
Chris Columbus,"('Logan Lerman',), ('Kevin McKidd',), ('Steve Coogan',), ('Brandon T. Jackson',)"
Sam Raimi,"('Bruce Campbell',), ('Ellen Sandweiss',), ('Richard DeManincor',), ('Betsy Baker',)"
Xavier Gens,"('Timothy Olyphant',), ('Dougray Scott',), ('Olga Kurylenko',), ('Robert Knepper',)"
Tom Vaughan,"('Cameron Diaz',), ('Ashton Kutcher',), ('Rob Corddry',), ('Lake Bell',)"
Peter Lord,"('Nick Park',), ('Mel Gibson',), ('Julia Sawalha',), ('Phil Daniels',)"
Robert Zemeckis,"('Bob Hoskins',), ('Christopher Lloyd',), ('Joanna Cassidy',), ('Charles Fleischer',)"
Roman Polanski,"('Mia Farrow',), ('John Cassavetes',), ('Ruth Gordon',), ('Sidney Blackmer',)"
James Watkins,"('Daniel Radcliffe',), ('Janet McTeer',), ('Ciarán Hinds',), ('Emma Shorey',)"
Billy Wilder,"('William Holden',), ('Gloria Swanson',), ('Erich von Stroheim',), ('Nancy Olson',)"
Wes Anderson,"('Bill Murray',), ('Owen Wilson',), ('Anjelica Huston',), ('Cate Blanchett',)"
Guy Hamilton,"('Sean Connery',), ('Gert Fröbe',), ('Honor Blackman',), ('Shirley Eaton',)"
Scott Derrickson,"('Keanu Reeves',), ('Jennifer Connelly',), ('Kathy Bates',), ('Jaden Smith',)"
Ivan Reitman,"('Bill Murray',), ('Dan Aykroyd',), ('Sigourney Weaver',), ('Harold Ramis',)"
Lana Wachowski,"('Lilly Wachowski',), ('Channing Tatum',), ('Mila Kunis',), ('Eddie Redmayne',)"
Steve Pink,"('John Cusack',), ('Rob Corddry',), ('Craig Robinson',), ('Clark Duke',)"
Steven Spielberg,"('Richard Dreyfuss',), ('François Truffaut',), ('Teri Garr',), ('Melinda Dillon',)"
Gregory Hoblit,"('Anthony Hopkins',), ('Ryan Gosling',), ('David Strathairn',), ('Rosamund Pike',)"
Wes Anderson,"('George Clooney',), ('Meryl Streep',), ('Bill Murray',), ('Jason Schwartzman',)"
Terrence Malick,"('Jim Caviezel',), ('Sean Penn',), ('Nick Nolte',), ('Kirk Acevedo',)"
Oliver Stone,"('Colin Farrell',), ('Anthony Hopkins',), ('Rosario Dawson',), ('Angelina Jolie',)"
Eli Roth,"('Jay Hernandez',), ('Derek Richardson',), ('Eythor Gudjonsson',), ('Barbara Nedeljakova',)"
Jon Favreau,"('Jon Favreau',), ('Robert Downey Jr.',), ('Scarlett Johansson',), ('Dustin Hoffman',)"
Robert Rodriguez,"('Antonio Banderas',), ('Salma Hayek',), ('Joaquim de Almeida',), ('Cheech Marin',)"
Kinji Fukasaku,"('Tatsuya Fujiwara',), ('Aki Maeda',), ('Tarô Yamamoto',), ('Chiaki Kuriyama',)"
Mike Mitchell,"('Mike Myers',), ('Cameron Diaz',), ('Eddie Murphy',), ('Antonio Banderas',)"
David Slade,"('Josh Hartnett',), ('Melissa George',), ('Danny Huston',), ('Ben Foster',)"
Gary Shore,"('Luke Evans',), ('Dominic Cooper',), ('Sarah Gadon',), ('Art Parkinson',)"
James DeMonaco,"('Ethan Hawke',), ('Lena Headey',), ('Max Burkholder',), ('Adelaide Kane',)"
Tarsem Singh,"('Henry Cavill',), ('Mickey Rourke',), ('John Hurt',), ('Stephen Dorff',)"
Wes Anderson,"('Owen Wilson',), ('Adrien Brody',), ('Jason Schwartzman',), ('Amara Karan',)"
Isao Takahata,"('Tsutomu Tatsumi',), ('Ayano Shiraishi',), ('Akemi Yamaguchi',), ('Yoshiko Shinohara',)"
David O. Russell,"('George Clooney',), ('Mark Wahlberg',), ('Ice Cube',), ('Spike Jonze',)"
Roman Polanski,"('Johnny Depp',), ('Frank Langella',), ('Lena Olin',), ('Emmanuelle Seigner',)"
Anthony Minghella,"('Matt Damon',), ('Gwyneth Paltrow',), ('Jude Law',), ('Cate Blanchett',)"
Sylvester Stallone,"('Sylvester Stallone',), ('Talia Shire',), ('Burt Young',), ('Carl Weathers',)"
Charles Chaplin,"('Charles Chaplin',), ('Paulette Goddard',), ('Jack Oakie',), ('Reginald Gardiner',)"
Donald Petrie,"('Sandra Bullock',), ('Michael Caine',), ('Benjamin Bratt',), ('Candice Bergen',)"
Wes Ball,"(""Dylan O'Brien"",), ('Kaya Scodelario',), ('Thomas Brodie-Sangster',), ('Giancarlo Esposito',)"
Brian Helgeland,"('Heath Ledger',), ('Mark Addy',), ('Rufus Sewell',), ('Shannyn Sossamon',)"
Scott Waugh,"('Aaron Paul',), ('Dominic Cooper',), ('Imogen Poots',), ('Kid Cudi',)"
David Dobkin,"('Robert Downey Jr.',), ('Robert Duvall',), ('Vera Farmiga',), ('Billy Bob Thornton',)"
David Dobkin,"('Jason Bateman',), ('Ryan Reynolds',), ('Olivia Wilde',), ('Leslie Mann',)"
Gus Van Sant,"('Sean Penn',), ('Josh Brolin',), ('Emile Hirsch',), ('Diego Luna',)"
Mel Brooks,"('Mel Brooks',), ('John Candy',), ('Rick Moranis',), ('Bill Pullman',)"
Alex Proyas,"('Brandon Lee',), ('Michael Wincott',), ('Rochelle Davis',), ('Ernie Hudson',)"
Antoine Fuqua,"('Clive Owen',), ('Stephen Dillane',), ('Keira Knightley',), ('Ioan Gruffudd',)"
Terrence Malick,"('Brad Pitt',), ('Sean Penn',), ('Jessica Chastain',), ('Hunter McCracken',)"
Franklin J. Schaffner,"('Charlton Heston',), ('Roddy McDowall',), ('Kim Hunter',), ('Maurice Evans',)"
Trey Parker,"('Trey Parker',), ('Matt Stone',), ('Elle Russ',), ('Kristen Miller',)"
Andrew Dominik,"('Brad Pitt',), ('Casey Affleck',), ('Sam Shepard',), ('Mary-Louise Parker',)"
Michel Gondry,"('Seth Rogen',), ('Jay Chou',), ('Christoph Waltz',), ('Cameron Diaz',)"
Seth MacFarlane,"('Seth MacFarlane',), ('Charlize Theron',), ('Liam Neeson',), ('Amanda Seyfried',)"
Mimi Leder,"('Robert Duvall',), ('Téa Leoni',), ('Elijah Wood',), ('Morgan Freeman',)"
Martin Campbell,"('Antonio Banderas',), ('Anthony Hopkins',), ('Catherine Zeta-Jones',), ('José María de Tavira',)"
Joel Schumacher,"('Michael Douglas',), ('Robert Duvall',), ('Barbara Hershey',), ('Rachel Ticotin',)"
Steven Soderbergh,"('Julia Roberts',), ('Albert Finney',), ('David Brisbin',), ('Dawn Didawick',)"
Jeff Nichols,"('Matthew McConaughey',), ('Tye Sheridan',), ('Jacob Lofland',), ('Sam Shepard',)"
Sylvester Stallone,"('Sylvester Stallone',), ('Talia Shire',), ('Burt Young',), ('Carl Weathers',)"
Andy Muschietti,"('Jessica Chastain',), ('Nikolaj Coster-Waldau',), ('Megan Charpentier',), ('Isabelle Nélisse',)"
Wes Anderson,"('Jason Schwartzman',), ('Bill Murray',), ('Olivia Williams',), ('Seymour Cassel',)"
Matthew Vaughn,"('Daniel Craig',), ('Sienna Miller',), ('Michael Gambon',), ('Tom Hardy',)"
George Miller,"('Mel Gibson',), ('Bruce Spence',), ('Michael Preston',), ('Max Phipps',)"
Paul Verhoeven,"('Michael Douglas',), ('Sharon Stone',), ('George Dzundza',), ('Jeanne Tripplehorn',)"
Baltasar Kormákur,"('Jason Clarke',), ('Ang Phula Sherpa',), ('Thomas M. Wright',), ('Martin Henderson',)"
Michael Mann,"('Russell Crowe',), ('Al Pacino',), ('Christopher Plummer',), ('Diane Venora',)"
Tony Gilroy,"('George Clooney',), ('Tilda Swinton',), ('Tom Wilkinson',), (""Michael O'Keefe"",)"
Rob Reiner,"('James Caan',), ('Kathy Bates',), ('Richard Farnsworth',), ('Frances Sternhagen',)"
William Cottrell,"('David Hand',), ('Wilfred Jackson',), ('Larry Morey',), ('Perce Pearce',)"
Wolfgang Petersen,"('George Clooney',), ('Mark Wahlberg',), ('John C. Reilly',), ('Diane Lane',)"
Olivier Megaton,"('Liam Neeson',), ('Forest Whitaker',), ('Maggie Grace',), ('Famke Janssen',)"
Todd Phillips,"('Breckin Meyer',), ('Seann William Scott',), ('Amy Smart',), ('Paulo Costanzo',)"
Paul Feig,"('Sandra Bullock',), ('Michael McDonald',), ('Melissa McCarthy',), ('Demián Bichir',)"
David S. Goyer,"('Wesley Snipes',), ('Kris Kristofferson',), ('Parker Posey',), ('Ryan Reynolds',)"
Roman Polanski,"('Ewan McGregor',), ('Pierce Brosnan',), ('Olivia Williams',), ('Jon Bernthal',)"
George Miller,"('Warren Coleman',), ('Judy Morris',), ('Elijah Wood',), ('Brittany Murphy',)"
Bibo Bergeron,"('Vicky Jenson',), ('Rob Letterman',), ('Will Smith',), ('Robert De Niro',)"
David Lynch,"('Isabella Rossellini',), ('Kyle MacLachlan',), ('Dennis Hopper',), ('Laura Dern',)"
Clint Eastwood,"('Ken Watanabe',), ('Kazunari Ninomiya',), ('Tsuyoshi Ihara',), ('Ryô Kase',)"
Mark Herman,"('Asa Butterfield',), ('David Thewlis',), ('Rupert Friend',), (""Zac Mattoon O'Brien"",)"
Ken Kwapis,"('Ginnifer Goodwin',), ('Jennifer Aniston',), ('Jennifer Connelly',), ('Morgan Lily',)"
David Slade,"('Patrick Wilson',), ('Elliot Page',), ('Sandra Oh',), ('Odessa Rae',)"
Robert Luketic,"('Reese Witherspoon',), ('Luke Wilson',), ('Selma Blair',), ('Matthew Davis',)"
Gregory Hoblit,"('Richard Gere',), ('Laura Linney',), ('Edward Norton',), ('John Mahoney',)"
Juan José Campanella,"('Ricardo Darín',), ('Soledad Villamil',), ('Pablo Rago',), ('Carla Quevedo',)"
Jaume Balagueró,"('Paco Plaza',), ('Manuela Velasco',), ('Ferran Terraza',), ('Jorge-Yamam Serrano',)"
Paul W.S. Anderson,"('Milla Jovovich',), ('Ali Larter',), ('Wentworth Miller',), ('Kim Coates',)"
James Cameron,"('Ed Harris',), ('Mary Elizabeth Mastrantonio',), ('Michael Biehn',), ('Leo Burmester',)"
Adam McKay,"('Will Ferrell',), ('Christina Applegate',), ('Paul Rudd',), ('Steve Carell',)"
Greg Mottola,"('Jesse Eisenberg',), ('Kristen Stewart',), ('Ryan Reynolds',), ('Martin Starr',)"
Adam McKay,"('Will Ferrell',), ('John C. Reilly',), ('Sacha Baron Cohen',), ('Gary Cole',)"
Robert Rodriguez,"('Antonio Banderas',), ('Salma Hayek',), ('Johnny Depp',), ('Willem Dafoe',)"
Shawn Levy,"('Ben Stiller',), ('Owen Wilson',), ('Amy Adams',), ('Hank Azaria',)"
Michael Davis,"('Clive Owen',), ('Monica Bellucci',), ('Paul Giamatti',), ('Stephen McHattie',)"
Peter Segal,"('Adam Sandler',), ('Burt Reynolds',), ('Chris Rock',), ('Nelly',)"
Josh Gordon,"('Will Speck',), ('Will Ferrell',), ('Jon Heder',), ('Amy Poehler',)"
Alexandre Aja,"('Ted Levine',), ('Kathleen Quinlan',), ('Dan Byrd',), ('Emilie de Ravin',)"
Barry Sonnenfeld,"('Will Smith',), ('Kevin Kline',), ('Kenneth Branagh',), ('Salma Hayek',)"
Richard Schenkman,"('David Lee Smith',), ('Tony Todd',), ('John Billingsley',), ('Ellen Crawford',)"
Nancy Meyers,"('Robert De Niro',), ('Anne Hathaway',), ('Rene Russo',), ('Anders Holm',)"
Sam Raimi,"('Bruce Campbell',), ('Embeth Davidtz',), ('Marcus Gilbert',), ('Ian Abercrombie',)"
Timur Bekmambetov,"('Benjamin Walker',), ('Rufus Sewell',), ('Dominic Cooper',), ('Anthony Mackie',)"
Alfred Hitchcock,"('Rod Taylor',), ('Tippi Hedren',), ('Jessica Tandy',), ('Suzanne Pleshette',)"
Lars von Trier,"('Kirsten Dunst',), ('Charlotte Gainsbourg',), ('Kiefer Sutherland',), ('Alexander Skarsgård',)"
Kevin Smith,"('Jason Mewes',), ('Kevin Smith',), ('Ben Affleck',), ('Jeff Anderson',)"
